PREFIX	Trust	Hospital/Trust	POSTALCODE
5050898	NHS connecting for Health	NHS Connecting for health	ls1 4HY
50552071	Cambridge University Hospitals NHS Foundation Trus	Addenbrooke's Hospital	CB2 0QQ
50552093	Airedale NHS Trust	Airedale General Hospital	BD20 6TD
50552323	Northumbria Healthcare NHS Foundation Trust	Alnwick Infirmary, Hillcrest Maternity Unit	NE63 9JJ
50552261	Leicestershire County & Rutland Community Health Services (LCRCHS)	Ashby & District Hospital	LE13 1SJ  
50552171	Ashford & St Peters NHS Trust	Ashford Hospital	TW15 3AA
50552348	Barnet and Chase Farm Hospitals NHS Trust	Barnet and Chase Farm Hospitals NHS Trust	EN5 3DJL
50552207	Barts Health NHS Trust	Barts Hospital	E1 8PR
50552143	Basildon and Thurrock NHS Trust	Basildon University Hospital	SS16 5NJ
50552119	Hampshire Hospitals NHS Foundation Trust	Basingstoke and North Hampshire Hospital	RG24 9NA
50552134	Bedford Hospital NHS Trust	Bedford Hospital	MK42 9DJ
50552322	Northumbria Healthcare NHS Foundation Trust	Berwick Infirmary Maternity Unit	NE63 9JJ
50552198	Northern Devon Healthcare NHS Trust	Bideford Hospital	EX31 4JB
5051447	Birmingham Childrens Hospital NHS Foundation Trust	Birmingham Children's Hospital	B29 6JD
5051450	South Birmingham Primary Care Trust	Birmingham Dental Hospital Sterile Services	B29 6JD
50552133	South Birmingham Primary Care Trust	Birmingham Dental Hospital Sterile Services	B29 6JD
50552118	Heart of England NHS Foundation Trust	Birmingham Heartlands Hospital	B29 6JD
5051724	Birmingham Women's Hospital NHS Foundation Trust	Birmingham Women's Hospital	B15 2TG
50552121	Birmingham Women's Hospital NHS Foundation Trust	Birmingham Women's Hospital	B15 2TG
50552080	Blackpool, Fylde and Wyre Hospitals NHS Trust	Bispham Rehab Unit (PFI)	FY2 0FN
50552073	Blackpool, Fylde and Wyre Hospitals NHS Trust	Blackpool Victoria Hospital	FY3 8NR
50552286	Barts & The London NHS Trust	BLT Pharmaceuticals	E1 2ES    
50552076	Boston NHS Treatment Centre	Boston NHS Treatment Centre	PE21 8EG
5051363	Bradford Teaching Hospitals NHS Foundation Trust	Bradford Royal Infirmary & St Lukes Hospital	BD9 6RJ
50552175	Bradford Teaching Hospitals NHS Foundation Trust	Bradford Royal Infirmary Estates Dept.	BD9 6RJ
5052158	Bradford Teaching Hospitals NHS Foundation Trust	Bradford Royal Infirmary PMU	BD9 6RJ
50552280	University Hospitals Bristol NHS Foundation Trust	Bristol Royal Infirmary SSD	BS2 8HW   
50552109	Royal Liverpool and Broadgreen University Hospitals NHS Trust	Broadgreen University Hospital Sterile Services Dept	L7 8XP
50552141	Mid Essex Hospital Services NHS Trust	Broomfield Hospital	CM1 7ET
50552272	Mid Essex Hospital Services NHS Trust	Broomfield Hospital	CM1 7ET
50552270	East Lancashire Hospitals NHS Trust	Burnley General Hospital	BB10 2PQ  
5051448	Calderdale and Huddersfield NHS Foundation Trust	Calderdale & Huddersfield Sterile Services Dept.	HD3 3EA
5053287	Hull & East Yorkshire Hospitals NHS Trust	Castle Hill Hospital	HU16 5JQ
50552314	Hull & East Yorkshire Hospitals NHS Trust	Castle Hill Hospital	HU16 5JQ
50552257	Central Manchester University Hospitals NHS Foundation Trust	Central Manchester University Hospitals NHS Foundation Trust	M13 9WL   
50552124	North West London Hospitals NHS Trust	Central Middlesex Hospital	NW10 7NS
